,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
166,Spain,Portugal,5,1,home_team,False,False,False,,Preliminary,Madrid,,1950
167,Portugal,Spain,2,2,draw,False,False,False,,Preliminary,Lisboa,,1950
168,Scotland,England,0,1,away_team,False,False,False,,Preliminary,Glasgow,,1950
169,Yugoslavia,France,1,0,home_team,False,False,False,1954-06-16,Group Stage,Lausanne,,1954
170,Brazil,Mexico,5,0,home_team,False,False,False,1954-06-16,Group Stage,Geneva,,1954
171,Uruguay,Czechoslovakia,2,0,home_team,False,False,False,1954-06-16,Group Stage,Bern,,1954
172,Austria,Scotland,1,0,home_team,False,False,False,1954-06-16,Group Stage,Zurich,,1954
173,Hungary,Korea Republic,9,0,home_team,False,False,False,1954-06-17,Group Stage,Zurich,,1954
174,West Germany,Turkey,4,1,home_team,False,False,False,1954-06-17,Group Stage,Bern,,1954
175,England,Belgium,4,4,draw,False,False,False,1954-06-17,Group Stage,Basel,,1954
176,Italy,Switzerland,1,2,away_team,False,False,False,1954-06-17,Group Stage,Lausanne,,1954
177,Uruguay,Scotland,7,0,home_team,False,False,False,1954-06-19,Group Stage,Basel,,1954
178,Austria,Czechoslovakia,5,0,home_team,False,False,False,1954-06-19,Group Stage,Zurich,,1954
179,Brazil,Yugoslavia,1,1,draw,False,False,False,1954-06-19,Group Stage,Lausanne,,1954
180,France,Mexico,3,2,home_team,False,False,False,1954-06-19,Group Stage,Geneva,,1954
181,Turkey,Korea Republic,7,0,home_team,False,False,False,1954-06-20,Group Stage,Geneva,,1954
182,West Germany,Hungary,3,8,away_team,False,False,False,1954-06-20,Group Stage,Basel,,1954
183,England,Switzerland,2,0,home_team,False,False,False,1954-06-20,Group Stage,Bern,,1954
184,Italy,Belgium,4,1,home_team,False,False,False,1954-06-20,Group Stage,Lugano,,1954
185,Switzerland,Italy,4,1,home_team,False,False,False,1954-06-23,Group Stage,Basel,,1954
186,West Germany,Turkey,7,2,home_team,False,False,False,1954-06-23,Group Stage,Zurich,,1954
187,Uruguay,Austria,3,1,home_team,False,False,False,1954-06-26,Quarter-finals,Lausanne,,1954
188,England,Switzerland,2,4,away_team,False,False,False,1954-06-26,Quarter-finals,Basel,,1954
189,Hungary,Brazil,4,2,home_team,False,False,False,1954-06-27,Quarter-finals,Bern,,1954
190,West Germany,Yugoslavia,2,0,home_team,False,False,False,1954-06-27,Quarter-finals,Geneva,,1954
191,Hungary,Uruguay,4,2,home_team,True,False,False,1954-06-30,Semi-finals,Lausanne,,1954
192,West Germany,Austria,6,1,home_team,False,False,False,1954-06-30,Semi-finals,Basel,,1954
193,Austria,Uruguay,3,1,home_team,False,False,False,1954-07-03,Third Place,Zurich,,1954
194,West Germany,Hungary,3,2,home_team,False,False,False,1954-07-04,Final,Bern,,1954
195,Yugoslavia,Greece,1,0,home_team,False,False,False,,Preliminary,Beograd,,1954
196,Finland,Belgium,2,4,away_team,False,False,False,,Preliminary,Helsinki,,1954
197,Sweden,Belgium,2,3,away_team,False,False,False,,Preliminary,Stockholm,,1954
198,Czechoslovakia,Romania,2,0,home_team,False,False,False,,Preliminary,Praha,,1954
199,Norway,Saarland,2,3,away_team,False,False,False,,Preliminary,Oslo,,1954
200,Romania,Bulgaria,3,1,home_team,False,False,False,,Preliminary,Bucureşti,,1954
201,Mexico,Haiti,8,0,home_team,False,False,False,,Preliminary,México DF,,1954
202,Finland,Sweden,3,3,draw,False,False,False,,Preliminary,Helsinki,,1954
203,Sweden,Finland,4,0,home_team,False,False,False,,Preliminary,Stockholm,,1954
204,Norway,FRG,1,1,draw,False,False,False,,Preliminary,Oslo,,1954
205,Bulgaria,Czechoslovakia,1,2,away_team,False,False,False,,Preliminary,Sofija,,1954
206,Luxembourg,France,1,6,away_team,False,False,False,,Preliminary,Luxembourg,,1954
207,Belgium,Finland,2,2,draw,False,False,False,,Preliminary,Bruxelles,,1954
208,Austria,Portugal,9,1,home_team,False,False,False,,Preliminary,Wien,,1954
209,Northern Ireland,Scotland,1,3,away_team,False,False,False,,Preliminary,Belfast,,1954
210,Ireland,France,3,5,away_team,False,False,False,,Preliminary,Dublin,,1954
211,Belgium,Sweden,2,0,home_team,False,False,False,,Preliminary,Bruxelles,,1954
212,Wales,England,1,4,away_team,False,False,False,,Preliminary,Cardiff,,1954
213,FRG,Saarland,3,0,home_team,False,False,False,,Preliminary,Stuttgart,,1954
214,Bulgaria,Romania,1,2,away_team,False,False,False,,Preliminary,Sofija,,1954
