id_match,home_team,away_team,home_score,away_score,date,round,city,edition
174,West Germany,Switzerland,5,0,1966-07-12,Group Stage,Sheffield,1966
175,Argentina,Spain,2,1,1966-07-13,Group Stage,Birmingham,1966
176,Italy,Chile,2,0,1966-07-13,Group Stage,Sunderland,1966
177,Soviet Union,Korea DPR,3,0,1966-07-12,Group Stage,Middlesbrough,1966
178,Uruguay,France,2,1,1966-07-15,Group Stage,London,1966
179,England,Mexico,2,0,1966-07-16,Group Stage,London,1966
180,Hungary,Brazil,3,1,1966-07-15,Group Stage,Liverpool,1966
181,Portugal,Bulgaria,3,0,1966-07-16,Group Stage,Manchester,1966
182,Argentina,Switzerland,2,0,1966-07-16,Group Stage,Sheffield,1966
183,West Germany,Spain,2,1,1966-07-15,Group Stage,Birmingham,1966
184,Chile,Korea DPR,1,1,1966-07-15,Group Stage,Middlesbrough,1966
185,Soviet Union,Italy,1,0,1966-07-16,Group Stage,Sunderland,1966
186,Mexico,Uruguay,0,0,1966-07-19,Group Stage,London,1966
187,England,France,2,0,1966-07-20,Group Stage,London,1966
188,Portugal,Brazil,3,1,1966-07-19,Group Stage,Liverpool,1966
189,Hungary,Bulgaria,3,1,1966-07-20,Group Stage,Manchester,1966
190,Argentina,West Germany,0,0,1966-07-16,Group Stage,Birmingham,1966
191,Spain,Switzerland,2,1,1966-07-20,Group Stage,Sheffield,1966
192,Korea DPR,Italy,1,0,1966-07-19,Group Stage,Middlesbrough,1966
193,Soviet Union,Chile,2,1,1966-07-20,Group Stage,Sunderland,1966
194,England,Argentina,1,0,1966-07-23,Quarter-finals,London,1966
195,West Germany,Uruguay,4,0,1966-07-23,Quarter-finals,Sheffield,1966
196,Portugal,Korea DPR,5,3,1966-07-23,Quarter-finals,Liverpool,1966
197,Soviet Union,Hungary,2,1,1966-07-23,Quarter-finals,Sunderland,1966
198,West Germany,Soviet Union,2,1,1966-07-25,Semi-finals,Liverpool,1966
199,England,Portugal,2,1,1966-07-26,Semi-finals,London,1966
200,Portugal,Soviet Union,2,1,1966-07-28,Third Place,London,1966
201,England,West Germany,4,2,1966-07-30,Final,London,1966
202,Mexico,Soviet Union,0,0,1970-05-31,Group Stage,Mexico City,1970
203,Belgium,El Salvador,3,0,1970-06-03,Group Stage,Mexico City,1970
204,Italy,Sweden,1,0,1970-06-03,Group Stage,Toluca,1970
205,Uruguay,Israel,2,0,1970-06-02,Group Stage,Puebla,1970
206,England,Romania,1,0,1970-06-02,Group Stage,Guadalajara,1970
207,Brazil,Czechoslovakia,4,1,1970-06-03,Group Stage,Guadalajara,1970
